Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.6674760167	        0.9970252361	        0.7470252361	        9.9702523610	      -72.8963450896	        7.1026019791	        7.2211464139	       34.1014437438	        1.0902685276	        7.5055186550	      101.6578865816	       74.3515952814	        0.4852348690	        2.4241914276	       10.0472089727	      136.0836042332	       99.5302322980	        0.1384655526	        0.3186518626	        7.0564119855	       44.7743994545	       19.3331341719	        1.4770061183	        1.3138459140	        2.7397966859	       -4.9460197915	      147.2013053825	        5.3695947178	      147.0067620555	       -2.5060030608	       -7.2956358861	        1.6706687072	        0.5076217377	     -307.5619886142	      -70.1150281266	      143.5188866586	       -1.0070078133	        0.6495765760	     -307.6437135446	     -315.1250987609	        0.0000000000
        0.7226532448	        0.9960584249	        0.7460584249	        9.9605842494	      -72.7672833789	        7.1002420018	        7.2235760023	       34.1345438669	        1.0903561455	        7.5059830837	      101.3752938539	       74.2761031929	        0.4978954617	        2.4526479879	       10.0608515806	      135.8811729288	       99.5580248278	        0.1422394654	        0.3240721615	        7.0655563335	       44.8324222417	       19.3858955766	        1.4765194343	        1.3284157023	        2.7437182101	       -4.9224200184	      147.1854417490	        5.4004154271	      146.9993584987	       -2.5096828356	       -7.3129252479	        1.6731218904	        0.5024134327	     -307.0227809810	      -93.3129944612	      127.6354238828	       -1.0927293462	        0.6485577242	     -307.1096260111	     -314.6105465035	        0.0000000000
        0.7790681924	        0.9949940493	        0.7449940493	        9.9499404925	      -72.6404699615	        7.0980927617	        7.2257876573	       34.1710586366	        1.0904528023	        7.5064528079	      101.0868920557	       74.1783034833	        0.5092334128	        2.4797295797	       10.0758560628	      135.6881872512	       99.5689879107	        0.1456183548	        0.3291841748	        7.0756509193	       44.8964744851	       19.4442584385	        1.4762914024	        1.3418219614	        2.7480522513	       -4.9009276171	      147.1679838455	        5.4318195365	      146.9928408018	       -2.5138358637	       -7.3286787784	        1.6758905758	        0.4967367011	     -306.4357460378	     -114.0444764494	      113.8565443853	       -1.1687358445	        0.6475484483	     -306.5282099720	     -314.0472780128	        0.0000000000
        0.8367511796	        0.9938369638	        0.7438369638	        9.9383696376	      -72.5155649760	        7.0961299269	        7.2278067255	       34.2108426632	        1.0905581129	        7.5069274135	      100.7925946239	       74.0594686056	        0.5194064796	        2.5053168574	       10.0921677455	      135.5036110533	       99.5641144688	        0.1486491214	        0.3339595185	        7.0866575423	       44.9663137938	       19.5080365154	        1.4763064754	        1.3541812573	        2.7527838616	       -4.8812992694	      147.1490116591	        5.4638188522	      146.9871469101	       -2.5184380154	       -7.3428742808	        1.6789586769	        0.4906133480	     -305.8030527276	     -132.5698210219	      101.8200876216	       -1.2361088969	        0.6465466334	     -305.9016132479	     -313.4374129981	        0.0000000000
        0.8957078511	        0.9925920570	        0.7425920570	        9.9259205700	      -72.3923126894	        7.0943338643	        7.2296536443	       34.2537498263	        1.0906716907	        7.5074062664	      100.4924423730	       73.9208160575	        0.5285487427	        2.5293469331	       10.1097314409	      135.3265786053	       99.5443128713	        0.1513716686	        0.3383819124	        7.0985378577	       45.0416968624	       19.5770439041	        1.4765506653	        1.3655882775	        2.7578980765	       -4.8633386426	      147.1286057617	        5.4964110801	      146.9822213993	       -2.5234724907	       -7.3555437887	        1.6823149938	        0.4840586759	     -305.1268845972	     -149.1015786665	       91.2522870747	       -1.2957286532	        0.6455507850	     -305.2320023772	     -312.7831459368	        0.0000000000
        0.9559242129	        0.9912643451	        0.7412643451	        9.9126434512	      -72.2705170017	        7.0926881833	        7.2313454589	       34.2996297279	        1.0907931375	        7.5078885588	      100.1865766727	       73.7635470607	        0.5367756913	        2.5518026534	       10.1284900701	      135.1563410984	       99.5104479889	        0.1538203988	        0.3424452228	        7.1112523679	       45.1223730699	       19.6510887421	        1.4770108635	        1.3761230698	        2.7633794619	       -4.8468818331	      147.1068488294	        5.5295828679	      146.9780127133	       -2.5289255444	       -7.3667552194	        1.6859503630	        0.4770855345	     -304.4094944105	     -163.8197695438	       81.9423293878	       -1.3483330526	        0.6445598556	     -304.5216143723	     -312.0867782326	        0.0000000000
        1.0173709035	        0.9898589974	        0.7398589974	        9.8985899741	      -72.1500240337	        7.0911787493	        7.2328968510	       34.3483264678	        1.0909220407	        7.5083733531	       99.8752165896	       73.5888648238	        0.5441878904	        2.5727034478	       10.1483841914	      134.9922308709	       99.4633640760	        0.1560252942	        0.3461516940	        7.1247600529	       45.2080821360	       19.7299705605	        1.4776744475	        1.3858559849	        2.7692119333	       -4.8317874929	      147.0838260459	        5.5633123663	      146.9744715560	       -2.5347837378	       -7.3765990036	        1.6898558252	        0.4697069036	     -303.6532202962	     -176.8820991468	       73.7243477588	       -1.3945600474	        0.6435731182	     -303.7727711174	     -311.3507184542	        0.0000000000
        1.0800069014	        0.9883813149	        0.7383813149	        9.8838131494	      -72.0307097344	        7.0897930218	        7.2343208280	       34.3996790370	        1.0910579739	        7.5088596206	       99.5586390235	       73.3979789462	        0.5508737133	        2.5920972859	       10.1693521608	      134.8336381346	       99.4038953335	        0.1580127224	        0.3495103076	        7.1390184486	       45.2985546182	       19.8134802246	        1.4785290814	        1.3948509616	        2.7753787677	       -4.8179302182	      147.0596247397	        5.5975714288	      146.9715500565	       -2.5410323215	       -7.3851783005	        1.6940215477	        0.4619373855	     -302.8604768305	     -188.4306669678	       66.4646315767	       -1.4349767418	        0.6425900738	     -302.9878695088	     -310.5774622448	        0.0000000000
        1.1437827574	        0.9868366795	        0.7368366795	        9.8683667946	      -71.9124711272	        7.0885196238	        7.2356291736	       34.4535227640	        1.0912005014	        7.5093462765	       99.2371614119	       73.1921008295	        0.5569114252	        2.6100535639	       10.1913307059	      134.6799965024	       99.3328682871	        0.1598060513	        0.3525352630	        7.1539840190	       45.3935142703	       19.9014016045	        1.4795626461	        1.4031676061	        2.7818627427	       -4.8051962376	      147.0343335362	        5.6323275072	      146.9692014482	       -2.5476544485	       -7.3926018823	        1.6984362990	        0.4537938971	     -302.0337307388	     -198.5962183053	       60.0525878692	       -1.4700987113	        0.6416103832	     -302.1693567955	     -309.7695603534	        0.0000000000
        1.2086433904	        0.9852304863	        0.7352304863	        9.8523048632	      -71.7952202124	        7.0873480709	        7.2368327315	       34.5096913585	        1.0913491830	        7.5098322119	       98.9111268286	       72.9724338107	        0.5623707952	        2.6266568708	       10.2142557355	      134.5307745918	       99.2510990337	        0.1614261252	        0.3552445919	        7.1696126963	       45.4926814733	       19.9935142855	        1.4807632510	        1.4108624036	        2.7886463513	       -4.7934807089	      147.0080412510	        5.6675452698	      146.9673800728	       -2.5546309754	       -7.3989790492	        1.7030873169	        0.4452957970	     -301.1754684498	     -207.5006919066	       54.3944277167	       -1.5004021739	        0.6406338168	     -301.3196981705	     -308.9295811250	        0.0000000000
